ccaa,year,spend_type,total_gastos_eur,func41_agricultura_pesca_alimentacion_eur,source_ref
Andalucía,2013,presupuestado,30706702830.0,2696319490.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2013
Aragón,2013,presupuestado,5107171230.0,634574590.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2013
Principado de Asturias,2013,presupuestado,3803594480.0,141674820.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2013
Comunidad Valenciana,2013,presupuestado,13018440710.0,345101150.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2013
Canarias,2013,presupuestado,6802298640.0,55241060.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2013
Cantabria,2013,presupuestado,2293200800.0,50890290.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2013
Castilla y León,2013,presupuestado,9481615090.0,1383749510.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2013
Castilla-La Mancha,2013,presupuestado,7440623540.0,1178481030.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2013
Cataluña,2013,presupuestado,29996817360.0,412281490.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2013
Extremadura,2013,presupuestado,4790886830.0,742665240.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2013
Galicia,2013,presupuestado,9479889410.0,478277880.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2013
Islas Baleares,2013,presupuestado,3598337540.0,57693320.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2013
Comunidad de Madrid,2013,presupuestado,19193694760.0,,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2013
Región de Murcia,2013,presupuestado,4476265760.0,115171700.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2013
Comunidad Foral de Navarra,2013,presupuestado,3837716810.0,90581210.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2013
País Vasco,2013,presupuestado,10474631810.0,128635990.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2013
La Rioja,2013,presupuestado,1225239400.0,44650980.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2013
Andalucía,2014,presupuestado,29623507550.0,2492187080.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2014
Aragón,2014,presupuestado,5373528540.0,656442690.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2014
Principado de Asturias,2014,presupuestado,3809130090.0,141674820.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2014
Comunidad Valenciana,2014,presupuestado,16386399880.0,328569870.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2014
Canarias,2014,presupuestado,6904043480.0,65885390.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2014
Cantabria,2014,presupuestado,2447626390.0,50547020.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2014
Castilla y León,2014,presupuestado,9957790750.0,1386472140.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2014
Castilla-La Mancha,2014,presupuestado,7963826620.0,1189675060.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2014
Cataluña,2014,presupuestado,32138852000.0,241199410.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2014
Extremadura,2014,presupuestado,5022505320.0,772341120.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2014
Galicia,2014,presupuestado,10281347160.0,430161830.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2014
Islas Baleares,2014,presupuestado,3875069600.0,58642290.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2014
Comunidad de Madrid,2014,presupuestado,20702599500.0,,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2014
Región de Murcia,2014,presupuestado,4545766400.0,98642080.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2014
Comunidad Foral de Navarra,2014,presupuestado,3756705620.0,78140280.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2014
País Vasco,2014,presupuestado,10275252820.0,109250620.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2014
La Rioja,2014,presupuestado,1291858750.0,45734990.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2014
Andalucía,2015,presupuestado,29626197040.0,2595457810.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2015
Aragón,2015,presupuestado,5254454320.0,648055750.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2015
Principado de Asturias,2015,presupuestado,3958604060.0,138973200.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2015
Comunidad Valenciana,2015,presupuestado,17564123140.0,367801880.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2015
