year,category,metric,rate_per_100k,count,population,confidence,notes
2015,homicide,foreign,4.86,230,4729644,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2016,homicide,foreign,6.28,290,4618581,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2017,homicide,foreign,5.9,270,4572807,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2018,homicide,foreign,5.85,277,4734691,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2019,homicide,foreign,5.7,287,5036878,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2020,homicide,foreign,7.01,381,5434153,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2021,homicide,foreign,8.07,439,5440148,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2022,homicide,foreign,8.7,482,5542932,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2023,homicide,foreign,9.33,568,6089620,medium,"detenciones/investigados attributed to foreign nationals (source-reported, not per-country -- see reg-sensitivity/cohort-tenure panels for Morocco/Algeria-specific rates). Denominator = total foreign stock (Eurostat migr_pop1ctz)."
2012,homicide,per_capita,2.41,1125,46749303,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2013,homicide,per_capita,2.07,964,46581124,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
2014,homicide,per_capita,2.26,1048,46433050,medium,"hechos conocidos (crimes reported to police), ALL nationalities -- this MIR Anuario source has no nationality split for reported crimes, only for detenciones/investigados (see 'spanish'/'foreign' metric rows). Not directly comparable to the sexual-crimes Informe/Anuario series' own totals across the LO 10/2022 reform boundary (2022+) -- same definition-break caveat as elsewhere in this dashboard."
